R. Peter Gillin,Chairman,Executive Board
Steve Thibeault,Director; Chief Executive Officer - Interim,Executive Board
Luke Colton,Chief Financial Officer,Senior Management
Jo-Anne Dudley,Chief Operating Officer,Senior Management
Dustin S. Isaacs,Corporate Secretary; Chief Legal Officer,Senior Management
