Michael S. Parrett,Chairman,Executive Board
Paul Tomory,President; Chief Executive Officer,Senior Management
Darren J. Millman,Vice President; Chief Financial Officer,Senior Management
Paul Chawrun,Chief Operating Officer; Executive Vice President,Senior Management
Claudia D’Orazio,Chief Human Resources Officer; Vice President,Senior Management
