Michael Halvorson,Chairman,Executive Board
Patrick G. Downey,Director; Chief Executive Officer; President,Executive Board
Peter Tam,Chief Financial Officer,Senior Management
Pascal Marquis,Senior Vice President - Exploration,Senior Management
Ryan Goodman,Vice President - Legal and Administration,Senior Management
