Peter Barnes,Chairman,Executive Board
George N. Paspalas,Director; Chief Executive Officer; President,Executive Board
Fausto Di Trapani,Chief Financial Officer,Senior Management
Jim Mallory,Chief Sustainability Officer,Senior Management
Rubi Lapiz,Controller,Senior Management
