Peter Marrone,Chairman,Executive Board
Daniel Racine,President; Director; Chief Executive Officer,Executive Board
Jason LeBlanc,Chief Financial Officer; Senior Vice President - Finance,Senior Management
Yohann Bouchard,Chief Operating Officer; Senior Vice President - Operations,Senior Management
Richard C. Campbell,Senior Vice President - Human Resources,Senior Management
