Alan N. MacGibbon,Chairman,Executive Board
Marc Parent,Chief Executive Officer; Director; President,Executive Board
Sonya Branco,Executive Vice President - Finance; Chief Financial Officer,Senior Management
Bob Lockett,Chief People Officer,Senior Management
Mark Hounsell,Chief Compliance Officer; General Counsel; Secretary,Senior Management
