James A. Mannebach,Chief Executive Officer - Interim; Chairman,Executive Board
Rishi Sharma,Chief Financial and Administrative Officer,Senior Management
Rob Velan,Vice Chairman,Executive Board
Shane Velan,Chief Information Officer,Senior Management
P. Dion,"Senior Vice President - Sales, Process Industries",Senior Management
