Ruibin Xu,Chief Executive Officer; Director,Executive Board
Alan Ho,Chief Financial Officer,Senior Management
Chonglin Zhu,Director; Senior Vice President - Finance,Executive Board
Chen Shen,Head - Legal; Director,Executive Board
Allison Snetsinger,Secretary,Senior Management
