Stephen A. Lang,Chairman,Executive Board
Peter Kukielski,Chief Executive Officer; Director; President,Executive Board
Eugene Lei,Chief Financial Officer,Senior Management
Andre Lauzon,Chief Operating Officer,Senior Management
Robert Carter,Vice President - Manitoba Business Unit,Senior Management
