Vernon Baker,Chief Executive Officer,Senior Management
Alfred Colas,Chief Financial Officer,Senior Management
Jeff Kennedy,Chairman,Non Executive Board
Marina Fagundes De Freitas,Vice President - Projects,Senior Management
Eric Duarte,Vice President - Operations,Senior Management
