Ross Beaty,Chairman,Executive Board
Greg Smith,Chief Executive Officer; Director; President,Executive Board
Peter Hardie,Chief Financial Officer,Senior Management
Doug Reddy,Chief Operating Officer,Senior Management
Susan Toews,General Counsel,Senior Management
