Eduardo Bartolomeo,Chief Executive Officer,Senior Management
Emily Olson,Chief Sustainability and Corporate Affairs Officer,Senior Management
Daniel Andre Stieler,President; Director,Executive Board
Marcelo Gasparino da Silva,Director; Vice President,Executive Board
Marcello Spinelli,Executive Vice President - Iron Solutions,Senior Management
