Paul J. Murphy,Chairman,Executive Board
John A. McCluskey,President; Director; Chief Executive Officer,Executive Board
Gregory Fisher,Chief Financial Officer,Senior Management
Luc Guimond,Chief Operating Officer,Senior Management
John Fitzgerald,Vice President - Projects,Senior Management
