Harold N. Kvisle,Chairman,Executive Board
Kevin Parkes,Chief Executive Officer; Director; President,Executive Board
Greg Palaschuk,Chief Financial Officer; Executive Vice President,Senior Management
Jane Murdoch,General Counsel; Chief Human Resources Officer; Executive Vice President,Senior Management
Alexandre De Moraes Zanelatto,Executive Vice President - Global Supply Chain,Senior Management
