Douglas J. Hurst,Chairman,Executive Board
Tim J. Swendseid,Director; Chief Executive Officer,Executive Board
William Dean,Chief Financial Officer,Senior Management
W. Perry Durning,Exploration Advisor,Senior Management
Warwick Board,Vice President - Exploration,Senior Management
