Jill Gardiner,Chairman,Executive Board
Avik Dey,Director; Chief Executive Officer; President,Executive Board
Sandra Haskins,Chief Financial Officer; Senior Vice President - Finance,Senior Management
Kate Chisholm,Senior Vice President; Chief Strategy Officer; Chief Sustainability Officer,Senior Management
Chris Kopecky,Chief Legal Officer; Development and Commercial Officer; Senior Vice President,Senior Management
