Christopher Cole,Chairman,Executive Board
Pierre Shoiry,Vice Chairman,Executive Board
Alexandre L’Heureux,Director; President; Chief Executive Officer,Executive Board
Alain Michaud,Chief Financial Officer,Senior Management
Gino Poulin,Chief Information Officer,Senior Management
