Christopher J. Frostad,Director; Chief Executive Officer; President,Executive Board
Ram Ramachandran,Chief Financial Officer,Senior Management
Scott Frostad,Vice President - Exploration; Director,Executive Board
Linda Tong,GIS Specialist,Senior Management
Jeanny So,Corporate Communications,Senior Management
