Kim Keating,Chairman,Executive Board
Denis Larocque,Chief Executive Officer; Director; President,Executive Board
Ian Ross,Chief Financial Officer,Senior Management
Andrew McLaughlin,General Counsel; Vice President - Legal Affairs,Senior Management
Marc Landry,Vice President - Technology & Logistics,Senior Management
