Ian Pearce,Chairman,Executive Board
Patrick Godin,Director; Chief Executive Officer; President,Executive Board
Robert J. Chausse,Chief Financial Officer; Executive Vice President,Senior Management
Yohann Bouchard,Executive Vice President; Chief Operating Officer,Senior Management
Sean Keating,Secretary; Vice President; General Counsel,Senior Management
