Paul L. Jones,President; Chief Executive Officer,Senior Management
Kyle Appleby,Chief Financial Officer,Senior Management
Sean Stokes,Executive Vice President,Senior Management
Laura A. Giroux,Chief Geologist,Senior Management
James Franklin,Director,Non Executive Board
