Joseph Grosso,Chairman,Executive Board
Nikolaos Cacos,Director; President; Chief Executive Officer,Executive Board
Darren C. Urquhart,Chief Financial Officer,Senior Management
Connie Norman,Secretary,Senior Management
Guillermo Pensado,Vice President - Exploration and Development,Senior Management
