Mahendra Naik,Chairman,Executive Board
Robin E. Goad,President; Chief Executive Officer; Director,Executive Board
Glen Koropchuk,Director - Technical,Senior Management
Richard P. Schryer,Vice President - Regulatory and Environmental Affairs,Senior Management
Patricia Penney,Interim Chief Financial Officer,Senior Management
