Pierre-Paul Lassonde,Chairman,Executive Board
Nathalie Lassonde,Vice Chairman; Chief Executive Officer,Executive Board
Eric Gemme,Chief Financial Officer,Senior Management
Vincent R. Timpano,President; Chief Operating Officer,Senior Management
Caroline Lemoine,Secretary; Chief Legal Officer,Senior Management
