Robert R. McEwen,Chairman; Chief Executive Officer,Executive Board
William Shaver,Director; Chief Operating Officer,Executive Board
Perry Y. Ing,Chief Financial Officer - Interim,Senior Management
Stefan Spears,Vice President - Corporate Development,Senior Management
Carmen Diges,General Counsel; Secretary,Senior Management
