David Smith,Chairman,Executive Board
Renaud Adams,Director; Chief Executive Officer; President,Executive Board
Maarten Theunissen,Chief Financial Officer,Senior Management
Bruno Lemelin,Chief Operating Officer,Senior Management
Tim Bradburn,Secretary; Senior Vice President; General Counsel,Senior Management
