Claire M.C. Kennedy,Chairman,Executive Board
Constantine E. Karayannopoulos,Director; Chief Executive Officer,Executive Board
Jonathan Baksh,Executive Vice President; Chief Financial Officer,Senior Management
Kevin D. Morris,Executive Vice President; Chief Strategy Officer,Senior Management
Frank Timmerman,Senior Vice President - Neo Rare Metals,Senior Management
