Sean Boyd,Chairman,Executive Board
Jeffrey Parr,Vice Chairman,Executive Board
Ammar Al-Joundi,President; Chief Executive Officer; Director,Executive Board
Jamie Porter,Chief Financial Officer; Executive Vice President - Finance,Senior Management
Jean Robitaille,"Executive Vice President; Chief Technology Officer; Chief Strategy Officer; Corporate Development, Business Strategy and Technical Services",Senior Management
